doc_id,category,gt_bucket,ground_truth,pred_p90,rel_error_signed,abs_err_p90,best_tiebreak_quantile,question
228,large_overestimate,<1m,0.9,1.6871405034254006,0.8746005593615561,0.7871405034254005,median,"Measuring from the closest point of each object, what is the distance between the table and the bathtub (in meters)?"
229,large_overestimate,<1m,0.7,1.926943652679971,1.7527766466856731,1.226943652679971,p75,"Measuring from the closest point of each object, what is the distance between the toilet and the table (in meters)?"
230,large_underestimate,>=3m,4.2,1.867921213843061,-0.5552568538468903,2.332078786156939,p90,"Measuring from the closest point of each object, what is the distance between the bed and the toilet (in meters)?"
231,large_underestimate,>=3m,3.0,1.4341667856701987,-0.5219444047766004,1.5658332143298013,p90,"Measuring from the closest point of each object, what is the distance between the table and the stove (in meters)?"
234,large_underestimate,1-3m,2.7,1.1473379424648535,-0.5750600213093136,1.5526620575351466,p90,"Measuring from the closest point of each object, what is the distance between the chair and the sofa (in meters)?"
235,large_overestimate,<1m,0.4,1.355346643364713,2.3883666084117823,0.955346643364713,p05,"Measuring from the closest point of each object, what is the distance between the fireplace and the sofa (in meters)?"
236,large_underestimate,1-3m,2.6,1.2708700427670523,-0.5112038297049799,1.3291299572329478,p90,"Measuring from the closest point of each object, what is the distance between the fireplace and the table (in meters)?"
238,large_underestimate,1-3m,2.4,1.006473264072917,-0.5806361399696179,1.3935267359270829,p90,"Measuring from the closest point of each object, what is the distance between the washer and the refrigerator (in meters)?"
241,large_overestimate,<1m,0.5,1.2079959086016197,1.4159918172032393,0.7079959086016197,p10,"Measuring from the closest point of each object, what is the distance between the chair and the sofa (in meters)?"
242,large_overestimate,<1m,0.7,1.2685033571600997,0.8121476530858568,0.5685033571600997,median,"Measuring from the closest point of each object, what is the distance between the fireplace and the table (in meters)?"
245,large_underestimate,>=3m,3.5,1.0175925324858757,-0.709259276432607,2.4824074675141246,p90,"Measuring from the closest point of each object, what is the distance between the stool and the stove (in meters)?"
246,large_overestimate,<1m,0.4,1.0018033022883865,1.5045082557209661,0.6018033022883865,median,"Measuring from the closest point of each object, what is the distance between the tv and the fireplace (in meters)?"
247,large_underestimate,1-3m,2.9,0.8716947051015643,-0.699415618930495,2.0283052948984355,p90,"Measuring from the closest point of each object, what is the distance between the toilet and the bed (in meters)?"
250,large_underestimate,>=3m,3.7,1.1791419179675489,-0.6813129951439058,2.5208580820324515,p90,"Measuring from the closest point of each object, what is the distance between the table and the bed (in meters)?"
