doc_id,gt_bucket,question,ground_truth,pred_p75,pred_p90,mra_p75,mra_p90,delta_mra,outcome,trigger_reason,skew,accepted_candidate_mean,det_score_mean,verifier_reject_ratio,selected_count,selected_span,total_pc_min,total_pc_ratio,best_tiebreak_quantile,best_mra_quantiles
228,<1m,"Measuring from the closest point of each object, what is the distance between the table and the bathtub (in meters)?",0.9,1.3322672096934556,1.6871405034254006,0.1,0.0,0.1,benefit,skew,8.888330533820913,2.8666666666666667,0.6497987061738968,0.0625,13.0,62.0,1610.0,0.875,median,median
229,<1m,"Measuring from the closest point of each object, what is the distance between the toilet and the table (in meters)?",0.7,0.5519740524299934,1.926943652679971,0.6,0.0,0.6,benefit,skew,39.48237217190552,2.125,0.6535747860159192,0.0,12.0,60.0,1380.0,0.75,p75,p75
233,1-3m,"Measuring from the closest point of each object, what is the distance between the table and the sofa (in meters)?",1.4,1.3968684532154843,1.4938140259509638,1.0,0.9,0.09999999999999998,benefit,accepted_candidate_mean,1.9373296866426784,3.2,0.7906129856904348,0.0,9.0,40.0,690.0,1.0,p75,p75
235,<1m,"Measuring from the closest point of each object, what is the distance between the fireplace and the sofa (in meters)?",0.4,1.238358444256398,1.355346643364713,0.0,0.0,0.0,tie,accepted_candidate_mean,1.9270065694084375,3.2222222222222223,0.609004944562912,0.0,10.0,42.0,920.0,1.0,p05,p05
237,>=3m,"Measuring from the closest point of each object, what is the distance between the fireplace and the chair (in meters)?",3.6,1.9874465113218331,2.0994757515197997,0.2,0.2,0.0,tie,accepted_candidate_mean,0.7612325849222533,3.6,0.5179079960693013,0.0,11.0,37.0,1150.0,0.8333333333333334,p90,p75|p90
247,1-3m,"Measuring from the closest point of each object, what is the distance between the toilet and the bed (in meters)?",2.9,0.7455725334876618,0.8716947051015643,0.0,0.0,0.0,tie,accepted_candidate_mean,2.34801429590122,3.8461538461538463,0.6341962516307831,0.05555555555555555,14.0,58.0,1840.0,0.8888888888888888,p90,min|p05|p10|p25|median|p75|p90
254,>=3m,"Measuring from the closest point of each object, what is the distance between the stool and the table (in meters)?",3.5,1.527353185105699,1.760985734997115,0.0,0.1,-0.1,harm,accepted_candidate_mean,2.5155429981183133,3.1666666666666665,0.5245155692100525,0.07142857142857142,10.0,30.0,1150.0,0.8333333333333334,p90,p90
255,>=3m,"Measuring from the closest point of each object, what is the distance between the refrigerator and the table (in meters)?",5.2,1.826643825109266,2.0967209106031586,0.0,0.0,0.0,tie,skew,11.241385493591235,2.0,0.4675002694129944,0.0,9.0,41.0,690.0,0.5994787141615986,p90,min|p05|p10|p25|median|p75|p90
256,1-3m,"Measuring from the closest point of each object, what is the distance between the refrigerator and the stool (in meters)?",1.0,1.794533122611381,1.8996682507679916,0.0,0.0,0.0,tie,skew,12.427692253062794,2.5384615384615383,0.5128839382758508,0.0,11.0,41.0,1150.0,0.625,median,median
260,1-3m,"Measuring from the closest point of each object, what is the distance between the stool and the bed (in meters)?",1.0,0.7331736956586219,0.8853292936267525,0.5,0.8,-0.30000000000000004,harm,accepted_candidate_mean,1.919193679361926,3.1666666666666665,0.5741548695985008,0.058823529411764705,14.0,38.0,1610.0,0.7777777777777778,p90,p90
262,1-3m,"Measuring from the closest point of each object, what is the distance between the stool and the bed (in meters)?",1.0,1.4255460779084228,2.6764756508361613,0.2,0.0,0.2,benefit,accepted_candidate_mean,7.3913935864475455,3.25,0.5704978433522311,0.0,11.0,51.0,1150.0,0.8333333333333334,median,median
266,<1m,"Measuring from the closest point of each object, what is the distance between the fireplace and the tv (in meters)?",0.9,0.7455223464203659,1.1781720388211183,0.7,0.4,0.29999999999999993,benefit,skew,11.237600625342417,1.8333333333333333,0.5769503315289816,0.1111111111111111,11.0,31.0,920.0,1.0,p75,p75
267,>=3m,"Measuring from the closest point of each object, what is the distance between the stove and the tv (in meters)?",9.4,2.25472536906921,2.3233680655165663,0.0,0.0,0.0,tie,skew,17.724981891881633,1.375,0.6061617583036423,0.16666666666666666,10.0,30.0,460.0,0.6666666666666666,p90,min|p05|p10|p25|median|p75|p90
278,>=3m,"Measuring from the closest point of each object, what is the distance between the tv and the sofa (in meters)?",4.1,1.2695773581924945,1.3814370883209226,0.0,0.0,0.0,tie,skew,35.777646946780564,1.95,0.5911718973746667,0.0,11.0,43.0,1380.0,0.8571428571428571,p90,min|p05|p10|p25|median|p75|p90
281,>=3m,"Measuring from the closest point of each object, what is the distance between the washer and the fireplace (in meters)?",4.9,0.653096826507924,1.246107664510355,0.0,0.0,0.0,tie,skew,19.07362167789079,2.25,0.5309560256344932,0.0,10.0,31.0,690.0,0.75,p90,min|p05|p10|p25|median|p75|p90
290,<1m,"Measuring from the closest point of each object, what is the distance between the stool and the table (in meters)?",0.8,0.757708912462335,0.8906411884287501,0.9,0.8,0.09999999999999998,benefit,accepted_candidate_mean,2.1012375762198103,3.4166666666666665,0.6637768149375916,0.0,14.0,46.0,2070.0,0.75,p75,p75
293,1-3m,"Measuring from the closest point of each object, what is the distance between the table and the fireplace (in meters)?",2.0,0.7147495169600921,0.8229662846508918,0.0,0.0,0.0,tie,accepted_candidate_mean,2.7184606693914066,3.6363636363636362,0.5562649236785041,0.0,15.0,53.0,2070.0,1.0,p90,min|p05|p10|p25|median|p75|p90
